Timestamp,Team Name,Puzzle name,Answer,Status,Puzzle Points,Cumulative Points
1/15/16 14:32,Left as an Exercise for the Reader,Always Amusing,Irish Setter,NOT CORRECT,0,0
1/15/16 14:32,Frumious Bandersnatch,You Complete Me,HAVENOT,CORRECT,5,5
1/15/16 14:32,Knock Knock,Before and After,VACUUM,NOT CORRECT,0,0
1/15/16 14:32,‰Ïö‰Ïö‰Ïö Galactic Trendsetters ‰Ïö‰Ïö‰Ïö,You Complete Me,havenot,CORRECT,5,5
1/15/16 14:32,Singles Ready to Stay Indoors,Gaming the System,withlast,NOT CORRECT,0,0
1/15/16 14:33,Up Late,Gaming the System,MULTIDIRECTIONAL,NOT CORRECT,0,0
1/15/16 14:33,Test Solution Please Ignore,"Bits Of Nomenclature, Zoned Appropriately",ROOD,CORRECT,5,5
1/15/16 14:33,Knock Knock,Before and After,peer,CORRECT,5,5
1/15/16 14:34,Left out,"Bits Of Nomenclature, Zoned Appropriately",ROOD,CORRECT,5,5
1/15/16 14:35,Death And Mayhem,Before and After,PEER,CORRECT,5,5
1/15/16 14:36,Setec Astronomy,"Bits Of Nomenclature, Zoned Appropriately",ROOD,CORRECT,5,10
1/15/16 14:36,ET Phone In Answer,Gaming the System,SWITH,NOT CORRECT,0,0
1/15/16 14:37,Knock Knock,"Bits Of Nomenclature, Zoned Appropriately",SERVICE,NOT CORRECT,0,5
1/15/16 14:38,Central Services,Something For Everyone,AUDIO,CORRECT,5,5
1/15/16 14:39,Vaguely Eloquent Team,Gaming The System,Switch,NOT CORRECT - DUPLICATE,0,0
1/15/16 14:39,Central Services,"Bits Of Nomenclature, Zoned Appropriately",ROOD,CORRECT,5,10
1/15/16 14:40,Up Late,You Complete Me,HAVE NOT,CORRECT,5,5
1/15/16 14:40,‰Ïö‰Ïö‰Ïö Galactic Trendsetters ‰Ïö‰Ïö‰Ïö,Something For Everyone,AUDEN,NOT CORRECT,0,5
1/15/16 14:40,Random Name Generator,You Complete Me,HAVENOT,CORRECT,5,5
1/15/16 14:41,Control Group,Gaming the System,cheat code,NOT CORRECT,0,0
1/15/16 14:41,Frumious Bandersnatch,Before and After,PEER,CORRECT,5,10
1/15/16 14:41,Codex Rotundus,Always Amusing,USAGE,CORRECT,5,10
1/15/16 14:42,Pi Squared,Gaming the System,SWITH,NOT CORRECT,0,0
1/15/16 14:43,Knight of Lost Words,You Complete Me,HAVE NOT,CORRECT,5,5
1/15/16 14:43,‰Ïö‰Ïö‰Ïö Galactic Trendsetters ‰Ïö‰Ïö‰Ïö,Something For Everyone,AUDIO,CORRECT,5,10
1/15/16 14:43,Hunches in Bunches,You Complete Me,OVATION,NOT CORRECT,0,5
1/15/16 14:44,Left as an Exercise for the Reader,Before and After,vacuum,NOT CORRECT,0,0
1/15/16 14:44,wafflehaÌ_s,You Complete Me,HAVENOT,CORRECT,5,5
1/15/16 14:44,Death And Mayhem,Road Trip,UNDERPASS,NOT CORRECT,0,5
1/15/16 14:46,Libra Complexity,Gaming the System,swith,NOT CORRECT,0,0
1/15/16 14:46,Up Late,Mad Dogs,Diamond Jim,CORRECT,5,10
1/15/16 14:46,Palindrome,"Bits Of Nomenclature, Zoned Appropriately",ROOD,CORRECT - DUPLICATE,0,5
1/15/16 14:47,Palindrome,"Bits Of Nomenclature, Zoned Appropriately",ROOD,CORRECT - DUPLICATE,0,5
1/15/16 14:47,Frumious Bandersnatch,Gaming the System,swith,NOT CORRECT,0,10
1/15/16 14:47,Palindrome,The Contest,LADEN,CORRECT,5,10
1/15/16 14:47,Palindrome,Gaming the System,NERDS,CORRECT,5,15
1/15/16 14:48,Knock Knock,Road Trip,PET GENRE,NOT CORRECT,0,5
1/15/16 14:48,Palindrome,The Contest,LADEN,CORRECT - DUPLICATE,0,15
1/15/16 14:48,"Immoral, Illegal, and Fattening",Ladder Dogs,Isthmus of Suez,CORRECT,5,5
1/15/16 14:48,wafflehaÌ_s,Before and After,without pressure,NOT CORRECT,0,5
1/15/16 14:48,Frumious Bandersnatch,Gaming the System,with,NOT CORRECT,0,10
1/15/16 14:49,Not So Great Ideas,Before and After,CRYSTALS PERFUME,NOT CORRECT,0,0
1/15/16 14:49,Metaphysical Plant,You Complete Me,HAVE NOT,CORRECT,5,5
1/15/16 14:50,Palindrome,Ladder Dogs,isthmus of suez,CORRECT,5,20
1/15/16 14:50,Hunches in Bunches,You Complete Me,HAVENOT,CORRECT,5,10
1/15/16 14:50,Metaphysical Plant,Gaming the System,SWITH,NOT CORRECT,0,5
1/15/16 14:50,Vaguely Eloquent Team,Gaming The System,Witch,NOT CORRECT,0,0
1/15/16 14:51,wafflehaÌ_s,Before and After,peer,CORRECT,5,10
1/15/16 14:51,Setec Astronomy,Road Trip,OLD MAIDS,CORRECT,5,15
1/15/16 14:51,Left as an Exercise for the Reader,Before and After,relax,NOT CORRECT,0,0
1/15/16 14:51,Metaphysical Plant,Pictocryptolists,TENPM,CORRECT,5,10
1/15/16 14:51,Super Team Awesome,Before and After,peer,CORRECT,5,5
1/15/16 14:52,Left out,Something For Everyone,audio,CORRECT,5,10
1/15/16 14:52,Test Solution Please Ignore,Before and After,WITHOUT PRESSURE,NOT CORRECT,0,5
1/15/16 14:52,Setec Astronomy,Before and After,PEER,CORRECT,5,20
1/15/16 14:52,Knock Knock,You Complete Me,HAVENOT,CORRECT,5,10
1/15/16 14:52,Palindrome,Before and After,peer,CORRECT,5,25
1/15/16 14:52,Not So Great Ideas,Before and After,WITHOUT PRESSURE,NOT CORRECT,0,0
1/15/16 14:52,Knock Knock,The Contest,LADEN,CORRECT,5,15
1/15/16 14:52,‰Ïö‰Ïö‰Ïö Galactic Trendsetters ‰Ïö‰Ïö‰Ïö,Gaming the System,ANSWERSWITH,NOT CORRECT,0,10
1/15/16 14:53,Palindrome,Road Trip,OUTLANDS,NOT CORRECT,0,25
1/15/16 14:53,Hunches in Bunches,Always Amusing,USAGE,CORRECT,5,15
1/15/16 14:53,Central Services,You Complete Me,havenot,CORRECT,5,15
1/15/16 14:53,Vaguely Eloquent Team,Always Amusing,reelections,NOT CORRECT,0,0
1/15/16 14:53,Not So Great Ideas,Before and After,PEER,CORRECT,5,5
1/15/16 14:54,Left as an Exercise for the Reader,Before and After,PEER,CORRECT,5,5
1/15/16 14:55,Rage Against the Dying of the Warehouse,You Complete Me,havenot,CORRECT,5,5
1/15/16 14:55,Not So Great Ideas,Before and After,PEER,CORRECT - DUPLICATE,0,5
1/15/16 14:56,"Immoral, Illegal, and Fattening","Bits Of Nomenclature, Zoned Appropriately",rood,CORRECT,5,10
1/15/16 14:57,Test Solution Please Ignore,Before and After,PEER,CORRECT,5,10
1/15/16 14:58,Pi Squared,Gaming the System,gameshark,NOT CORRECT,0,0
1/15/16 14:58,Setec Astronomy,Always Amusing,usage,CORRECT,5,25
1/15/16 14:59,ducksoup,Gaming the System,With,NOT CORRECT,0,0
1/15/16 14:59,Team Unseen,Before and After,HAIRLESS,NOT CORRECT,0,0
1/15/16 14:59,Knock Knock,"Bits Of Nomenclature, Zoned Appropriately",BOLT,NOT CORRECT,0,15
1/15/16 14:59,Sunscreen,Gaming the System,with,NOT CORRECT,0,0
1/15/16 15:00,Death And Mayhem,Ladder Dogs,ISTHMUSOFSUEZ,CORRECT,5,10
1/15/16 15:01,Death And Mayhem,Road Trip,oldmaids,CORRECT,5,15
1/15/16 15:01,The Providence Transplantations,You Complete Me,HAVENOT,CORRECT,5,5
1/15/16 15:01,Off in the lab,Gaming the System,answerswith,NOT CORRECT,0,0
1/15/16 15:02,Team Unseen,Before and After,PEER,CORRECT,5,5
1/15/16 15:02,Magical Mystery Tour De Force,Gaming the System,SWITH,NOT CORRECT,0,0
1/15/16 15:02,Sleipnir's Wranglers,Gaming the System,WITH,NOT CORRECT,0,0
1/15/16 15:02,Knock Knock,Road Trip,OLD MAZDA,NOT CORRECT,0,15
1/15/16 15:03,Rage Against the Dying of the Warehouse,Something For Everyone,audio,CORRECT,5,10
1/15/16 15:04,Om Nom Nom Nom,Dog Food,PLUMWINE,CORRECT,5,5
1/15/16 15:04,Donner Party,You Complete Me,HAVENOT,CORRECT,5,5
1/15/16 15:05,Sunscreen,Gaming the System,swith,NOT CORRECT,0,0
1/15/16 15:05,Palindrome,Something For Everyone,AUDIO,CORRECT,5,30
1/15/16 15:05,Up Late,"Bits Of Nomenclature, Zoned Appropriately",ROOD,CORRECT,5,15
1/15/16 15:06,‰Ïö‰Ïö‰Ïö Galactic Trendsetters ‰Ïö‰Ïö‰Ïö,Before and After,air,NOT CORRECT,0,10
1/15/16 15:06,Knock Knock,Road Trip,OLD MAIDS,CORRECT,5,20
1/15/16 15:07,Metaphysical Plant,Gaming the System,LONG A SOUNDS,NOT CORRECT,0,10
1/15/16 15:07,Team Unseen,Before and After,PEER,CORRECT - DUPLICATE,0,5
1/15/16 15:07,Codex Rotundus,Ladder Dogs,ISTHMUS OF SUEZ,CORRECT,5,15
1/15/16 15:07,‰Ïö‰Ïö‰Ïö Galactic Trendsetters ‰Ïö‰Ïö‰Ïö,Before and After,Peer,CORRECT,5,15
1/15/16 15:07,Hunches in Bunches,The Contest,LADEN,CORRECT,5,20
1/15/16 15:08,Hunches in Bunches,The Contest,ANSWER LADEN,NOT CORRECT,0,20
1/15/16 15:08,Palindrome,Road Trip,oldunits,NOT CORRECT,0,30
1/15/16 15:09,‰Ïö‰Ïö‰Ïö Galactic Trendsetters ‰Ïö‰Ïö‰Ïö,Road Trip,FREEFLOW,NOT CORRECT,0,15
1/15/16 15:10,Sunscreen,Gaming the System,switch,NOT CORRECT,0,0
1/15/16 15:11,Knock Knock,Gaming the System,NERDS,CORRECT,5,25
1/15/16 15:11,‰Ïö‰Ïö‰Ïö Galactic Trendsetters ‰Ïö‰Ïö‰Ïö,Road Trip,DATSUN510,NOT CORRECT,0,15
1/15/16 15:11,BAH Interlopers,Gaming the System,With,NOT CORRECT,0,0
1/15/16 15:11,Palindrome,You Complete Me,havenot,CORRECT,5,35
1/15/16 15:11,Palindrome,You Complete Me,have not,CORRECT - DUPLICATE,0,35
1/15/16 15:12,Team Unseen,Before and After,PEER,CORRECT - DUPLICATE,0,5
1/15/16 15:13,Metaphysical Plant,Gaming the System,NERDS,CORRECT,5,15
1/15/16 15:13,Frumious Bandersnatch,The Contest,LAND,NOT CORRECT,0,10
1/15/16 15:13,Grand Unified Theory of Love,Gaming the System,LATE,NOT CORRECT,0,0
1/15/16 15:13,Left out,Obedience Training,FOOLPROOF BREEDERS,NOT CORRECT,0,10
1/15/16 15:14,Knock Knock,"Bits Of Nomenclature, Zoned Appropriately",ROOD,CORRECT,5,30
1/15/16 15:14,Death And Mayhem,Always Amusing,USAGE,CORRECT,5,20
1/15/16 15:14,Plaid Thong,Road Trip,AT VETO MS,NOT CORRECT,0,0
1/15/16 15:14,Frumious Bandersnatch,Road Trip,oldmaids,CORRECT,5,15
1/15/16 15:14,Metaphysical Plant,Gaming the System,NERDS,CORRECT - DUPLICATE,0,15
1/15/16 15:14,Team Unseen,Before and After,peer,CORRECT - DUPLICATE,0,5
1/15/16 15:15,Codex Rotundus,Dog Food,CHEF AND FRANCIS SHOW,NOT CORRECT,0,15
1/15/16 15:15,Palindrome,See Spot Run,SAAB,NOT CORRECT,0,35
1/15/16 15:15,Codex Rotundus,You Complete Me,HAVENOT,CORRECT,5,20
1/15/16 15:15,Magical Mystery Tour De Force,Gaming the System,WITH,NOT CORRECT,0,0
1/15/16 15:16,Up Late,Road Trip,OLD BARDS,NOT CORRECT,0,15
1/15/16 15:17,Metaphysical Plant,Gaming the System,NERDS,CORRECT - DUPLICATE,0,15
1/15/16 15:17,Left as an Exercise for the Reader,Ladder Dogs,ISTHMUS OF SUEZ,CORRECT,5,10
1/15/16 15:17,Test Solution Please Ignore,Obedience Training,FOOLPROOF BREEDERS,NOT CORRECT,0,10
1/15/16 15:17,‰Ïö‰Ïö‰Ïö Galactic Trendsetters ‰Ïö‰Ïö‰Ïö,Road Trip,BLUEBIRD,NOT CORRECT,0,15
1/15/16 15:18,Grand Unified Theory of Love,Before and After,peer,CORRECT,5,5
1/15/16 15:18,‰Ïö‰Ïö‰Ïö Galactic Trendsetters ‰Ïö‰Ïö‰Ïö,Always Amusing,USAGE,CORRECT,5,20
1/15/16 15:18,Super Team Awesome,See Spot Run,Target,NOT CORRECT,0,5
1/15/16 15:19,Up Late,Road Trip,OLD MAIDS,CORRECT,5,20
1/15/16 15:19,Codex Rotundus,Something For Everyone,NOUS DEUX MON CHIEN,NOT CORRECT,0,20
1/15/16 15:20,Om Nom Nom Nom,Before and After,PEER,CORRECT,5,10
1/15/16 15:20,Metaphysical Plant,"Bits of Nomenclature, Zoned Appropriately",ROOD,CORRECT,5,20
1/15/16 15:20,Left out,Obedience Training,FLEAPROOF BREEDERS,NOT CORRECT,0,10
1/15/16 15:20,‰Ïö‰Ïö‰Ïö Galactic Trendsetters ‰Ïö‰Ïö‰Ïö,Dog Food,PLUM WINE,CORRECT,5,25
1/15/16 15:22,Wobbly Hedgehog Syndrome,Ladder Dogs,ISTHMUS OF SUEZ,CORRECT,5,5
1/15/16 15:22,Not So Great Ideas,Mad Dogs,diamondmim,NOT CORRECT,0,5
1/15/16 15:22,Test Solution Please Ignore,Dog Show,DIAMOND JIM,NOT CORRECT,0,10
1/15/16 15:22,Central Services,Pictocryptolists,TENPM,CORRECT,5,20
1/15/16 15:22,ducksoup,Gaming the System,NERDS,CORRECT,5,5
1/15/16 15:22,Black Dynamite,Always Amusing,Electrolysis,NOT CORRECT,0,0
1/15/16 15:22,The Providence Transplantations,Mad Dogs,DIAMOND JIM,CORRECT,5,10
1/15/16 15:22,Setec Astronomy,Pictocryptolists,ten am,NOT CORRECT,0,25
1/15/16 15:23,Hunches in Bunches,Dog Food,PLUM WINE,CORRECT,5,25
1/15/16 15:23,Test Solution Please Ignore,Obedience Training,FIREPROOF BREEDERS,NOT CORRECT,0,10
1/15/16 15:23,Frumious Bandersnatch,The Contest,LADEN,CORRECT,5,20
1/15/16 15:23,Metaphysical Plant,Mad Dogs,ANOTHER WRONG ANSWER,NOT CORRECT,0,20
1/15/16 15:23,Hunches in Bunches,Dog Food,UMESHU,NOT CORRECT,0,25
1/15/16 15:23,Black Dynamite,Always Amusing,Electrolysis,NOT CORRECT - DUPLICATE,0,0
1/15/16 15:24,‰Ïö‰Ïö‰Ïö Galactic Trendsetters ‰Ïö‰Ïö‰Ïö,Road Trip,DATSUN,NOT CORRECT,0,25
1/15/16 15:24,Super Team Awesome,Dog Food,dachshund,NOT CORRECT,0,5
1/15/16 15:25,Rage Against the Dying of the Warehouse,"Bits Of Nomenclature, Zoned Appropriately",ROOD,CORRECT,5,15
1/15/16 15:25,Codex Rotundus,Something For Everyone,RINTINTIN,NOT CORRECT,0,20
1/15/16 15:25,Palindrome,Whistle Training,ecuadorian hunters,CORRECT,10,45
1/15/16 15:25,Metaphysical Plant,Off the Leash,PUFFIN,NOT CORRECT,0,20
1/15/16 15:25,Palindrome,See Spot Run,NAAN,NOT CORRECT,0,45
1/15/16 15:25,Left out,Dog Food,UMESHU AND UME SYRUP,NOT CORRECT,0,10
1/15/16 15:25,Not So Great Ideas,Mad Dogs,capacitor,NOT CORRECT,0,5
1/15/16 15:26,Random Name Generator,"Bits Of Nomenclature, Zoned Appropriately",ROOD,CORRECT,5,10
1/15/16 15:26,wafflehaÌ_s,Gaming the System,pneumonoultramicroscopicsilicovolcanoconiosis,NOT CORRECT,0,10
1/15/16 15:26,Knock Knock,See Spot Run,MAAM,NOT CORRECT,0,30
1/15/16 15:27,wafflehaÌ_s,Road Trip,old maids,CORRECT,5,15
1/15/16 15:27,BAH Interlopers,Before And After,BLOOD,NOT CORRECT,0,0
1/15/16 15:27,Left out,Obedience Training,FLEAPROOF BREEDERS,NOT CORRECT - DUPLICATE,0,10
1/15/16 15:27,Setec Astronomy,Pictocryptolists,ten pm,CORRECT,5,30
1/15/16 15:28,Vaguely Eloquent Team,Gaming The System,Answerswith,NOT CORRECT,0,0
1/15/16 15:28,Central Services,The Contest,LADEN,CORRECT,5,25
1/15/16 15:28,Left out,Ladder Dogs,ISTHMUS OF SUEZ,CORRECT,5,15
1/15/16 15:28,Palindrome,See Spot Run,haha,NOT CORRECT,0,45
1/15/16 15:29,Metaphysical Plant,Spot the Dog,YET ANOTHER WRONG ANSWER SORRY,NOT CORRECT,0,20
1/15/16 15:29,Knock Knock,See Spot Run,BAAL,NOT CORRECT,0,30
1/15/16 15:30,Metaphysical Plant,Something for Everyone,AUDIO,CORRECT,5,25
1/15/16 15:30,Palindrome,Dog Food,PLUM WINE,CORRECT,5,50
1/15/16 15:30,Death And Mayhem,The Contest,LADEN,CORRECT,5,25
1/15/16 15:30,Codex Rotundus,Road Trip,OLD MAIDS,CORRECT,5,25
1/15/16 15:30,Hunches in Bunches,Something For Everyone,AUDIO,CORRECT,5,30
1/15/16 15:31,Super Team Awesome,Road Trip,tampered,NOT CORRECT,0,5
1/15/16 15:31,wafflehaÌ_s,Gaming the System,multidirectional,NOT CORRECT,0,15
1/15/16 15:31,MCM Studios,Always Amusing,cincinnatis,NOT CORRECT,0,0
1/15/16 15:31,wafflehaÌ_s,Gaming the System,multidirectional,NOT CORRECT - DUPLICATE,0,15
1/15/16 15:31,Palindrome,Spot the Dog,red cent,CORRECT,5,55
1/15/16 15:31,"Immoral, Illegal, and Fattening",Before and After,PEER,CORRECT,5,15
1/15/16 15:32,Central Services,Gaming the System,swith,NOT CORRECT,0,25
1/15/16 15:32,Death And Mayhem,See Spot Run,AGFA,CORRECT,5,30
1/15/16 15:32,Left out,Dog Food,one year,NOT CORRECT,0,15
1/15/16 15:32,Knock Knock,Obedience Training,FOOLPROOF BREEDERS,NOT CORRECT,0,30
1/15/16 15:33,"Immoral, Illegal, and Fattening",Dog Food,PLUM WINE,CORRECT,5,20
1/15/16 15:33,Death And Mayhem,Gaming the System,SWORD,NOT CORRECT,0,30
1/15/16 15:33,Black Dynamite,Road Trip,pie cream,NOT CORRECT,0,0
1/15/16 15:33,Team Unseen,Gaming the System,SWITH,NOT CORRECT,0,5
1/15/16 15:33,Metaphysical Plant,Off the Leash,PIFFLE,NOT CORRECT,0,25
1/15/16 15:34,‰Ïö‰Ïö‰Ïö Galactic Trendsetters ‰Ïö‰Ïö‰Ïö,Ladder Dogs,ISTHMUSOFSUEZ,CORRECT,5,30
1/15/16 15:34,Test Solution Please Ignore,Mad Dogs,DIAMOND JIM,CORRECT,5,15
1/15/16 15:35,Left out,Dog Food,plum wine,CORRECT,5,20
1/15/16 15:35,Palindrome,Road Trip,OLDMAIDS,CORRECT,5,60
1/15/16 15:35,Hunches in Bunches,Ladder Dogs,ISTHMUS OF SUEZ,CORRECT,5,35
1/15/16 15:35,Setec Astronomy,Obedience Training,foolproof breeders,NOT CORRECT,0,30
1/15/16 15:35,Knock Knock,Obedience Training,FIREPROOF BREEDERS,NOT CORRECT,0,30
1/15/16 15:36,Grand Unified Theory of Love,Gaming the System,NERDS,CORRECT,5,10
1/15/16 15:36,Palindrome,Mad Dogs,diamondjim,CORRECT,5,65
1/15/16 15:36,Left out,Road Trip,OLDMAIDS,CORRECT,5,25
1/15/16 15:37,Left as an Exercise for the Reader,"Bits Of Nomenclature, Zoned Appropriately",ROOD,CORRECT,5,15
1/15/16 15:37,Death And Mayhem,"Bits Of Nomenclature, Zoned Appropriately",LOGO,NOT CORRECT,0,30
1/15/16 15:37,Up Late,Ladder Dogs,ISTHMUSOFSUEZ,CORRECT,5,25
1/15/16 15:38,ET Phone In Answer,Dog Food,wine,NOT CORRECT,0,0
1/15/16 15:38,Death And Mayhem,"Bits Of Nomenclature, Zoned Appropriately",ROOD,CORRECT,5,35
1/15/16 15:38,Sunscreen,"Bits of Nomenclature, Zoned Appropriately",rood,CORRECT,5,5
1/15/16 15:39,BAH Interlopers,Before and After,vacuum,NOT CORRECT,0,0
1/15/16 15:39,Hunches in Bunches,"Bits Of Nomenclature, Zoned Appropriately",ROOD,CORRECT,5,40
1/15/16 15:39,Knock Knock,Obedience Training,GOOFPROOF BREEDERS,CORRECT,10,40
1/15/16 15:39,Left out,Always Amusing,usali,NOT CORRECT,0,25
1/15/16 15:40,Left as an Exercise for the Reader,"Bits Of Nomenclature, Zoned Appropriately",ROOD,CORRECT - DUPLICATE,0,15
1/15/16 15:40,Frumious Bandersnatch,Dog Food,Plum Wine,CORRECT,5,25
1/15/16 15:40,Test Solution Please Ignore,Dog Show,FranÌ¤ois,NOT CORRECT,0,15
1/15/16 15:41,BAH Interlopers,Before and After,without pressure,NOT CORRECT,0,0
1/15/16 15:41,Knock Knock,Mad Dogs,DIAMONDJIM,CORRECT,5,45
1/15/16 15:41,‰Ïö‰Ïö‰Ïö Galactic Trendsetters ‰Ïö‰Ïö‰Ïö,Road Trip,NISMO,NOT CORRECT,0,30
1/15/16 15:42,Test Solution Please Ignore,Something for Everyone,FranÌ¤ois,NOT CORRECT,0,15
1/15/16 15:43,Knock Knock,See Spot Run,GAFA,NOT CORRECT,0,45
1/15/16 15:43,Magical Mystery Tour De Force,Mad Dogs,THE SAINT,NOT CORRECT,0,0
1/15/16 15:44,‰Ïö‰Ïö‰Ïö Galactic Trendsetters ‰Ïö‰Ïö‰Ïö,Road Trip,OLDIEIDX,NOT CORRECT,0,30
1/15/16 15:44,Control Group,Something For Everyone,francois,NOT CORRECT,0,0
1/15/16 15:44,Knock Knock,Ladder Dogs,ISTHMUS OF SUEZ,CORRECT,5,50
1/15/16 15:44,Metaphysical Plant,Dog Food,plum wine,CORRECT,5,30
1/15/16 15:44,Death And Mayhem,Gaming the System,NERDS,CORRECT,5,40
1/15/16 15:44,Knock Knock,See Spot Run,AGFA,CORRECT,5,55
1/15/16 15:44,Codex Rotundus,Something For Everyone,RADIO,NOT CORRECT,0,25
1/15/16 15:45,Hunches in Bunches,Off The Leash,leadfree,NOT CORRECT,0,40
1/15/16 15:45,Up Late,Gaming the System,with,NOT CORRECT,0,25
1/15/16 15:45,The Mystery of Benjamin Yates,Dog Show,ume syrup,NOT CORRECT,0,0
1/15/16 15:46,Death And Mayhem,Don't Cross an Alpha Bitch!,BBDONEWYORK,NOT CORRECT,0,40
1/15/16 15:46,BAH Interlopers,Before and After,peer,CORRECT,5,5
1/15/16 15:46,ET Phone In Answer,Dog Food,hannari,NOT CORRECT,0,0
1/15/16 15:47,Death And Mayhem,Obedience Training,GOOFPROOFBREEDERS,CORRECT,10,50
1/15/16 15:47,Codex Rotundus,Something For Everyone,AUDIO,CORRECT,5,30
1/15/16 15:47,Hunches in Bunches,Off The Leash,pbfree,CORRECT,5,45
1/15/16 15:48,Palindrome,Travelogue,country sunrise,CORRECT,5,70
1/15/16 15:48,Left as an Exercise for the Reader,Road Trip,OLD MAIDS,CORRECT,5,20
1/15/16 15:48,‰Ïö‰Ïö‰Ïö Galactic Trendsetters ‰Ïö‰Ïö‰Ïö,"Bits Of Nomenclature, Zoned Appropriately",ROOD,CORRECT,5,35
1/15/16 15:48,Hunches in Bunches,Pictocryptolists,Ten PM,CORRECT,5,50
1/15/16 15:48,‰Ïö‰Ïö‰Ïö Galactic Trendsetters ‰Ïö‰Ïö‰Ïö,"Bits Of Nomenclature, Zoned Appropriately",RUDE,NOT CORRECT,0,35
1/15/16 15:49,Codex Rotundus,Before and After,PEER,CORRECT,5,35
1/15/16 15:49,Left out,Meshed Together,ene,NOT CORRECT,0,25
1/15/16 15:49,Central Services,Gaming the System,nerd,NOT CORRECT,0,25
1/15/16 15:49,Central Services,Gaming the system,nerds,CORRECT,5,30
1/15/16 15:49,Black Dynamite,Before and After,Party,NOT CORRECT,0,0
1/15/16 15:49,Palindrome,Tracking,OUTLANDER DINGOES,NOT CORRECT,0,70
1/15/16 15:49,Black Dynamite,Gaming the System,Adventure,NOT CORRECT,0,0
1/15/16 15:50,The Mystery of Benjamin Yates,Dog Food,ume syrup,NOT CORRECT,0,0
1/15/16 15:50,Codex Rotundus,Mad Dogs,SHOVELHEAD,NOT CORRECT,0,35
1/15/16 15:50,Metaphysical Plant,Ladder Dogs,ISTHMUSOFSUEZ,CORRECT,5,35
1/15/16 15:50,ET Phone In Answer,Before and After,PEER,CORRECT,5,5
1/15/16 15:50,Raucous Raucous Rhinos,Gaming the System,NERDS,CORRECT,5,5
1/15/16 15:52,Left out,Always Amusing,ali,NOT CORRECT,0,25
1/15/16 15:52,Central Services,Always Amusing,USAGE,CORRECT,5,35
1/15/16 15:52,wafflehaÌ_s,Something For Everyone,RADIO,NOT CORRECT,0,15
