order,puzzle,round,solution,points_granted
151,Wisdom is Eternal,Endymion,DUNCE CAP,10
152,Endymion,Endymion,RUN OVER A BUMP,25
153,Rip Van Winkle Dream Fragment,Limbo,RIME,10
154,Sleeping Beauty Dream Fragment,Limbo,OUT,10
155,Opus Dream Fragment,Limbo,SESAME,10
156,King Arthur Dream Fragment,Limbo,TACT,10
157,Ysera Dream Fragment,Limbo,HEX,10
158,Aborigine Dream Fragment,Limbo,EAT,10
159,Pam Ewing Dream Fragment,Limbo,SLICKS,10
160,Randolph Carter Dream Fragment,Limbo,EEK,10
161,Sleeping Gypsy Dream Fragment,Limbo,PERUSE,10
162,Endymion Dream Fragment,Limbo,SNOW,10
163,Limbo,Limbo,ROUSE THE SLEEPERS NOW USE KICKS AT EXACT SAME TIME,25
164,Adventures in Dreamland,Events,UNDERWATER MORTGAGE,25
165,The Matrix,Events,SOMNAMBULIST,25
166,Escape from Mars,Events,SELF DESTRUCT,25
167,The Trivial Pursuits of Walter Mitty,Events,DAYDREAM BELIEVER,25
